No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan,Industry
22,KBLM,Kabelindo Murni Tbk.,01 Jun 1992,1.120.000.000,Pengembangan,Industrials
23,KIAS,Keramika Indonesia Assosiasi T,08 Des 1994,14.929.100.000,Pemantauan Khusus,Industrials
24,KOBX,Kobexindo Tractors Tbk.,05 Jul 2012,2.272.500.000,Pengembangan,Industrials
25,KOIN,Kokoh Inti Arebama Tbk,09 Apr 2008,980.843.732,Pemantauan Khusus,Industrials
26,KONI,Perdana Bangun Pusaka Tbk,22 Agt 1995,312.000.000,Pengembangan,Industrials
27,LION,Lion Metal Works Tbk.,20 Agt 1993,520.160.000,Pengembangan,Industrials
28,MDRN,Modern Internasional Tbk.,16 Jul 1991,7.632.167.798,Pemantauan Khusus,Industrials
29,MFMI,Multifiling Mitra Indonesia Tb,29 Des 2010,757.581.000,Pemantauan Khusus,Industrials
30,MLIA,Mulia Industrindo Tbk,17 Jan 1994,6.615.000.000,Utama,Industrials
31,SCCO,Supreme Cable Manufacturing & ,20 Jul 1982,822.333.600,Pengembangan,Industrials
32,TIRA,Tira Austenite Tbk,27 Jul 1993,588.000.000,Pengembangan,Industrials
33,TOTO,Surya Toto Indonesia Tbk.,30 Okt 1990,10.320.000.000,Pengembangan,Industrials
34,TRIL,Triwira Insanlestari Tbk.,28 Jan 2008,1.200.000.000,Pemantauan Khusus,Industrials
35,UNTR,United Tractors Tbk.,19 Sep 1989,3.730.135.136,Utama,Industrials
36,VOKS,Voksel Electric Tbk.,20 Des 1990,4.155.602.595,Pengembangan,Industrials
37,ZBRA,Dosni Roha Indonesia Tbk.,01 Agt 1991,2.510.706.263,Pengembangan,Industrials
38,MARK,Mark Dynamics Indonesia Tbk.,12 Jul 2017,3.800.000.310,Utama,Industrials
39,SPTO,Surya Pertiwi Tbk.,14 Mei 2018,2.700.000.000,Utama,Industrials
40,SKRN,Superkrane Mitra Utama Tbk.,11 Okt 2018,7.500.000.000,Utama,Industrials
41,CAKK,Cahayaputra Asa Keramik Tbk.,31 Okt 2018,1.203.300.219,Pengembangan,Industrials
42,SOSS,Shield On Service Tbk.,06 Nov 2018,799.414.231,Pengembangan,Industrials
43,CCSI,Communication Cable Systems In,18 Jun 2019,1.333.333.331,Pengembangan,Industrials
44,BLUE,Berkah Prima Perkasa Tbk.,08 Jul 2019,418.000.000,Pengembangan,Industrials
45,ARKA,Arkha Jayanti Persada Tbk.,10 Jul 2019,2.000.000.000,Pemantauan Khusus,Industrials
46,SINI,Singaraja Putra Tbk.,08 Nov 2019,481.000.000,Pemantauan Khusus,Industrials
47,HOPE,Harapan Duta Pertiwi Tbk.,24 Mei 2021,2.130.360.203,Pengembangan,Industrials
48,LABA,Green Power Group Tbk.,10 Jun 2021,1.103.402.553,Pengembangan,Industrials
49,GPSO,Geoprima Solusi Tbk.,06 Sep 2021,666.741.103,Pengembangan,Industrials
50,KUAS,Ace Oldfields Tbk.,25 Okt 2021,1.292.808.150,Pengembangan,Industrials
51,BINO,Perma Plasindo Tbk.,25 Nov 2021,2.275.316.111,Pengembangan,Industrials
52,NTBK,Nusatama Berkah Tbk.,09 Feb 2022,2.700.064.877,Pemantauan Khusus,Industrials
53,PADA,Personel Alih Daya Tbk.,08 Des 2022,3.150.000.000,Pemantauan Khusus,Industrials
54,KING,Hoffmen Cleanindo Tbk.,16 Feb 2023,2.601.190.481,Akselerasi,Industrials
55,PTMP,Mitra Pack Tbk.,06 Mar 2023,3.169.200.000,Pengembangan,Industrials
56,SMIL,Sarana Mitra Luas Tbk.,12 Mei 2023,8.751.668.239,Utama,Industrials
57,CRSN,Carsurin Tbk.,10 Jul 2023,2.892.000.000,Pengembangan,Industrials
58,WIDI,Widiant Jaya Krenindo Tbk.,10 Jul 2023,1.600.031.683,Akselerasi,Industrials
59,FOLK,Multi Garam Utama Tbk.,07 Agt 2023,3.948.141.464,Pemantauan Khusus,Industrials
60,MUTU,Mutuagung Lestari Tbk.,09 Agt 2023,3.142.950.585,Pengembangan,Industrials
61,HYGN,Ecocare Indo Pasifik Tbk.,13 Feb 2024,2.525.000.000,Pengembangan,Industrials
62,VISI,Satu Visi Putra Tbk.,27 Feb 2024,3.075.000.000,Pengembangan,Industrials
63,MHKI,Multi Hanna Kreasindo Tbk.,16 Apr 2024,3.750.000.000,Pengembangan,Industrials
64,NAIK,Adiwarna Anugerah Abadi Tbk.,13 Nov 2024,3.327.288.722,Pengembangan,Industrials
65,PIPA,Multi Makmur Lemindo Tbk.,10 Apr 2023,3.426.097.190,Pengembangan,Industrials
